Company,ATS,URL,Status,Board Slug,opened,Date Applied,Position,App Status,Location,Referal,suggested_ats,suggested_slug,research_error,last_researched,prompted_at
Palantir,Lever,jobs.lever.co/palantir,,,Early June,6/26/2026,Forward Deployed Eng,Pending,,,,,,,
Apple,custom,,,,May,07/03/2026,SWE,Pending,,,,,,,
Copart,workday,,,,,07/03/2026,SWE,Pending,"Dallas, TX",,,,,,
Kalshi,Ashby,jobs.ashbyhq.com/kalshi,,,,07/16/2026,Support Ops,Pending,"New York City, NY",asking,,,,,
Binance ,Ashby,jobs.lever.co/binance,,,,7/3/2026,SWE,Rejected,remote,alison anderson,,,,,
CAE,Workday,cae.wd3.myworkdayjobs.com,,,,6/27/2026,eng co-op,Rejected,"Tampa, FL",,,,,,
Citadel,custom,citadel.com/careers,,,June,07/07/2026,SWE,Rejected,"Miami, FL",,,,,,
Anduril,Greenhouse,job-boards.greenhouse.io/andurilindustries,,,July,,,,,,,,,,
BlackRock,Workday,blackrock.wd1.myworkdayjobs.com,,,,,,,,,,,,,
Circle,Greenhouse,boards.greenhouse.io/circle,,,,,,,,Dad,,,,,
Citi,Workday,citi.wd5.myworkdayjobs.com,,,,,,,,,,,,,
Coinbase,Greenhouse,boards.greenhouse.io/coinbase,,,,,,,,,,,,,
Cloudflare,Greenhouse,job-boards.greenhouse.io/cloudflare,,,June,,,,,David,,,,,
FIS,Workday,fis.wd5.myworkdayjobs.com,,,,,,,"Jacksonville, FL",,,,,,
Galaxy Digital,Greenhouse,job-boards.greenhouse.io/galaxydigitalservices,,,,,,,,,,,,,
Jane Street,Greenhouse,job-boards.greenhouse.io/janestreet,,,,,,,,,,,,,
Mastercard,Workday,mastercard.wd1.myworkdayjobs.com,,,,,,,,oliver's aunt,,,,,
Nvidia,Workday,nvidia.wd5.myworkdayjobs.com,,,,,,,,,,,,,
Orin,Unknown,useorin.com/company,,,,,,,"Jacksonville, FL",,,,,,
Phantom,Ashby,jobs.ashbyhq.com/phantom,,,,,,,,,,,,,
Plaid,Ashby,jobs.lever.co/plaid,,,,,,,,,,,,,
Polymarket,Ashby,jobs.ashbyhq.com/polymarket,,,,,,,,,,,,,
Premium Merchant Funding,Workable,apply.workable.com/premium-merchant-funding-3,,,,,,,,,,,,,
Rain,Ashby,jobs.ashbyhq.com/rain,,,,,,,,,,,,,
Ramp,Ashby,jobs.ashbyhq.com/ramp,,,,,,,"New York City, NY",,,,,,
Raymond James,Workday,raymondjames.wd1.myworkdayjobs.com,,,,,,,FL,,,,,,
Robinhood,Greenhouse,job-boards.greenhouse.io/robinhood,,,,,,,,,,,,,
Securitize,Greenhouse,job-boards.greenhouse.io/securitize,,,,,,,,,,,,,
Stripe,Greenhouse,boards.greenhouse.io/stripe,,,,,,,,,,,,,
TheIncLab,Workable,apply.workable.com/theinclab,,,,,,,"Tampa, FL",,,,,,
TikTok,custom,careers.tiktok.com,,,,,,,"San Jose, CA",,,,,,
Uber,Custom,jobs.uber.com,,,,,,,,,,,,,
UKG,custom,apply.ukg.com,,,,,,,FL,,,,,,
Visa,Workday,visa.wd5.myworkdayjobs.com,,,,,,,,,,,,,
Voloridge,HiringThing,voloridge.com/careers,,,,,quant intern,,Jupiter FL,,,,,,
WorldQuant,Greenhouse,job-boards.greenhouse.io/worldquant,,,,,,,,,,,,,
Microsoft,iCIMS,jobs-microsoft.icims.com,,,,,,,,,,,,,
Netflix,Workday,netflix.wd1.myworkdayjobs.com,,,,,,,,,,,,,
Shopify,Lever,jobs.lever.co/shopify,,,,,,,,,,,,,
walleyecapital,Greenhouse,,,,,,quant,,"NY, MIAMI",,,,,,
aquatic capital management,Greenhouse,,,,,,quant,,,,,,,,
Amazon,custom,,,,,,SWE,,,,,,,,
Rivian,,,,,09/01/2026,,,,,,,,,,
datadog,,,,,,,,,,,,,,,
flexport,,,,,,,,,,,,,,,
opendoor,,,,,,,,,"Miami, FL",yes,,,,,
airbnb,,,,,,,,,,yes,,,,,
Bank of America,,,,,,,,,,,,,,,
Replit,,,,,,,,,,,,,,,
Notion,,,,,,,,,,,,,,,
Google,,,,,,,,,,,,,,,
